,make,score_D2,score_D3,score_D4,score_D5,score_D6,score_D7
0,FORD,0.01906870964752072,0.9750987273248855,0.9750986962108922,0.9750987305108019,0.9750987541891668,0.97509875202645
1,AUDI,0.46073243258015206,0.5695087907025431,0.656811006179221,0.7825039660827822,0.8476815621009417,0.887840964893285
2,CHRYSLER,0.7581386827041816,0.8312247889211362,0.8684685447182319,0.8922822216559968,0.9055820418263765,0.915188324059295
3,LINCOLN,0.7552783057735808,0.8359903571442748,0.8705895520085688,0.8903759925624088,0.9035309539030635,0.914744983440789
4,INFINITI,0.5598496300064364,0.8381064044650159,0.890743063049737,0.9156405327387088,0.9306142516889728,0.9423146630164876
5,BUICK,0.04057149969364038,0.6657583534978133,0.7542350955318717,0.8570036972255287,0.8678286426089277,0.8684287731420186
6,NISSAN,0.0016464454669213868,0.8017960267213928,0.8017958113097546,0.8017959290027652,0.8017958899990549,0.8017957625352465
7,CHEVROLET,0.015137002478483708,0.08340384719472027,0.16512168759848678,0.31304377332397093,0.47159280162173434,0.6134522875335031
8,BMW,0.4560689538277214,0.522664369409696,0.579207925143921,0.6410077071001014,0.8092669907316961,0.8458966647093544
9,TOYOTA,0.012482087783151186,0.055156270997851586,0.6210933582064454,0.8005230260873148,0.8066404226859749,0.8066404283202835
10,VOLKSWAGEN,0.6121355067520773,0.676093928372032,0.7237128276754718,0.7478559413455309,0.7642250427624288,0.7796770328372902
11,HONDA,0.758141200602863,0.8119327909430899,0.8535985084017351,0.8779921729435161,0.8912788445893838,0.9003246357252009
12,MAZDA,0.7508981261777397,0.8194383818728619,0.8698169632487192,0.8898039245018097,0.9033740183147503,0.915413219167877
13,VOLVO,0.8137585689194026,0.8943959524757898,0.9185022498213902,0.9342372528235269,0.9463812362498325,0.956794548614815
14,JAGUAR,0.6900296255485927,0.7914449332111131,0.8594486803940905,0.8954374501672404,0.9181674622120259,0.9362538666204361
15,DODGE,0.027935224219800214,0.2751525357112671,0.8536876825643263,0.853387602409436,0.8533875645468743,0.853687493892634
16,CADILLAC,0.6792997908944057,0.7636387998954148,0.8158782844103742,0.8511863478492356,0.8786020282013846,0.8986640136809108
17,MERCURY,0.441516029337626,0.5248148480391852,0.6067433627041364,0.6858814814786364,0.7556802277023342,0.8061339833492681
18,HYUNDAI,0.5537576986721375,0.6229032451986076,0.6803938829573734,0.7704404245160371,0.8342236965765226,0.8611504956925379
19,KIA,0.4509989197111175,0.5258482208367046,0.573553991553519,0.6102461756769413,0.650854230373751,0.7007423494121747
20,MERCEDES_BENZ,0.5229185887759586,0.7018426652522791,0.829990518462148,0.8697610349839892,0.8924384438576698,0.9078115141899663
21,SUBARU,0.6726357595523185,0.7553168638832074,0.7888003711568097,0.8123943575066492,0.8326876851098148,0.8510512018836758
22,ALFA_ROMEO,0.43959204262286855,0.544253676679599,0.6659673661751192,0.7770857181254218,0.848185932961218,0.8920836558471348
23,PONTIAC,0.4178290041807903,0.5200901014624715,0.5989060905914216,0.6595561104600156,0.7149695276378405,0.7620150598958718
24,SAAB,0.7987049627751852,0.8657885741973064,0.9276468344855185,0.956488697084447,0.9716602180303322,0.9796211889985948
25,SATURN,0.47031810139218366,0.5930678985603616,0.6839717670405672,0.7567451153171799,0.8161215121489429,0.8632685849536936
26,ACURA,0.7815563044887079,0.8417077013287199,0.8814514728770156,0.9207481974104431,0.9381633332728996,0.9490084550303596
27,LEXUS,0.64788006186494,0.7545209040748427,0.8378418731748636,0.8990581892886823,0.9226100917270353,0.9373564983293597
28,MITSUBISHI,0.5208349504009376,0.624105808942737,0.6979224655039012,0.7514830431429032,0.7966280325959858,0.8378316731753195
29,MASERATI,0.6861759290026765,0.7998570451628605,0.8549516809901057,0.8972808082720358,0.9227916004719353,0.9421121142693564
30,PORSCHE,0.7784794970421268,0.8289504740148901,0.8607878530174907,0.8851422693760052,0.910489964821334,0.9315594542019789
31,GENESIS,0.5853455866111741,0.6986113459572756,0.7997448493943812,0.8666702547881002,0.9119653269348973,0.9399401874693843
32,TESLA,0.7938577703016475,0.8963630400113756,0.9451751870080126,0.9476935161731159,0.9477685291835843,0.9477854029630326
33,SUZUKI,0.897057103709417,0.9422103891457592,0.9659029172204164,0.9787516350390828,0.9855655694129412,0.9884444526278365
34,OLDSMOBILE,0.4968292033280801,0.555765825602728,0.7705505415555127,0.7729883523393062,0.7734867284939214,0.7735234430744664
35,BENTLEY,0.8784955971449157,0.9443789105100131,0.966013341474067,0.9746936523682292,0.976561062694674,0.9774751518519726
36,PLYMOUTH,0.988951315910767,0.988951315910767,0.988951315910767,0.988951315910767,0.988951315910767,0.988951315910767
37,ROLLS_ROYCE,0.911690624685208,0.9441393860204674,0.9575573890603704,0.9639613895113661,0.9673328402708904,0.9673628422903617
38,ASTON_MARTIN,0.8796588147698086,0.9029706592175389,0.9058195843883672,0.9061672871267686,0.906294951455854,0.906294951455854
